LocationID;Zone;Zone_Lat;Zone_Lon;borough_ID;Borough;borough_lat;borough_lon;borough_boundingbox
171;Murray Hill-Queens;40.748000000000005;-73.97800000000001;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
172;New Dorp/Midland Beach;40.574;-74.116;5.0;Staten Island;40.5834557;-74.1496048;['40.4960342', '40.6488941', '-74.2556782', '-74.0492521']
173;North Corona;40.7540709990489;-73.85751790676447;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
174;Norwood;40.87722415599446;-73.8793907395681;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
175;Oakland Gardens;40.74561857141855;-73.75494976234332;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
176;Oakwood;40.5584622432888;-74.12156593771896;5.0;Staten Island;40.5834557;-74.1496048;['40.4960342', '40.6488941', '-74.2556782', '-74.0492521']
177;Ocean Hill;40.67840255479536;-73.91306831787395;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
178;Ocean Parkway South;40.615517100000005;-73.9691194;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
179;Old Astoria;40.766999999999996;-73.921;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
180;Ozone Park;40.680708468265415;-73.84320266173447;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
